time,x,y,theta,period,anti period
0.0041666666666666,-0.25791130289661196,0.0031472081218274113,-1.5585942562053539,0.0,0.0
0.0083333333333333,-0.25869810492706885,0.0023604060913705585,-1.5616724076474067,0.0,0.0
0.0125,-0.25869810492706885,0.0015736040609137057,-1.5647136202598668,0.0,0.0
0.0166666666666666,-0.25869810492706885,0.0007868020304568528,-1.5677549453951216,0.0,0.0
0.0208333333333333,-0.2594849069575257,0.0,-1.5707963267948966,0.0,0.0
0.025,-0.2594849069575257,0.0,-1.5707963267948966,0.0,0.0
0.0291666666666666,-0.25869810492706885,0.0,-1.5707963267948966,0.0,0.0
0.0333333333333333,-0.25869810492706885,0.0,-1.5707963267948966,0.0,0.0
0.0375,-0.25791130289661196,0.0,-1.5707963267948966,0.0,0.0
0.0416666666666666,-0.25791130289661196,0.0015736040609137057,-1.5646950643950823,0.0,0.0
0.0458333333333333,-0.25791130289661196,0.0015736040609137057,-1.5646950643950823,0.0,0.0
0.05,-0.2571245008661551,0.003934010152284264,-1.55549749992113,0.0,0.0
0.0541666666666664,-0.2563376988356983,0.00550761421319797,-1.5493138567412192,0.0,0.0
0.0583333333333335,-0.25476409477478457,0.007081218274111675,-1.543008284138337,0.0,0.0
0.0625,-0.25397729274432773,0.009441624365482234,-1.533638364881303,0.0,0.0
0.0666666666666665,-0.2516168866529572,0.010228426395939086,-1.5301679015835787,0.0,0.0
0.0708333333333335,-0.25004328259204345,0.013375634517766497,-1.5173539868259343,0.0,0.0
0.075,-0.24925648056158659,0.01652284263959391,-1.504604648127505,0.0,0.0
0.0791666666666665,-0.24689607447021603,0.018883248730964468,-1.4944623561597408,0.0,0.0
0.0833333333333335,-0.24374886634838863,0.02281725888324873,-1.4774586225284945,0.0,0.0
0.0875,-0.2421752622874749,0.025964467005076142,-1.4639907746877125,0.0,0.0
0.0916666666666665,-0.2406016582265612,0.0283248730964467,-1.453610529999641,0.0,0.0
0.0958333333333335,-0.23824125213519065,0.03304568527918782,-1.4329689357225657,0.0,0.0
0.1,-0.2343072419829064,0.03619289340101523,-1.4175399107272693,0.0,0.0
0.1041666666666664,-0.23116003386107897,0.040913705583756343,-1.3956175484971178,0.0,0.0
0.1083333333333335,-0.22801282573925158,0.044847715736040614,-1.3765860117482829,0.0,0.0
0.1125,-0.22565241964788102,0.04878172588832488,-1.3578917895527658,0.0,0.0
0.1166666666666665,-0.22171840949559674,0.05350253807106599,-1.334014473384733,0.0,0.0
0.1208333333333335,-0.21778439934331248,0.05743654822335026,-1.3129364823285634,0.0,0.0
0.125,-0.21306358716057136,0.06137055837563452,-1.2903490042051742,0.0,0.0
0.1291666666666665,-0.2091295770082871,0.06609137055837563,-1.2646981015434562,0.0,0.0
0.1333333333333335,-0.20440876482554599,0.07081218274111675,-1.2373104458944795,0.0,0.0
0.1375,-0.19968795264280487,0.07474619289340102,-1.212626353291238,0.0,0.0
0.1416666666666665,-0.19496714046006375,0.08025380710659899,-1.1803067332513955,0.0,0.0
0.1458333333333335,-0.18945952624686577,0.08497461928934011,-1.1491816177270349,0.0,0.0
0.15,-0.18316511000321095,0.08890862944162436,-1.1188955297042642,0.0,0.0
0.1541666666666665,-0.17844429782046983,0.09284263959390864,-1.0910494229282768,0.0,0.0
0.1583333333333335,-0.17136307954635815,0.09756345177664975,-1.0532278707331002,0.0,0.0
0.1625,-0.16506866330270334,0.10228426395939087,-1.0160557904349872,0.0,0.0
0.1666666666666665,-0.15798744502859166,0.10700507614213198,-0.9754674881383456,0.0,0.0
0.1708333333333335,-0.15169302878493685,0.11093908629441625,-0.9393453682492543,0.0,0.0
0.175,-0.14461181051082517,0.11487309644670052,-0.8995070260540313,0.0,0.0
0.1791666666666665,-0.1375305922367135,0.11959390862944164,-0.8550440867146152,0.0,0.0
0.1833333333333335,-0.12966257193214495,0.12274111675126904,-0.8128134562515347,0.0,0.0
0.1875,-0.12336815568849013,0.12588832487309645,-0.7752877610216298,0.0,0.0
0.1916666666666665,-0.11471333335346476,0.12903553299492387,-0.7267076290385425,0.0,0.0
0.1958333333333335,-0.10605851101843938,0.13296954314720813,-0.6732850218006767,0.0,0.0
0.2,-0.09819049071387084,0.1353299492385787,-0.6276775426089838,0.0,0.0
0.2041666666666665,-0.08874886634838862,0.1384771573604061,-0.5699455542594708,0.0,0.0
0.2083333333333335,-0.08088084604382009,0.1416243654822335,-0.5188939725304205,0.0,0.0
0.2125,-0.0722260237087947,0.1431979695431472,-0.46714453025139224,0.0,0.0
0.2166666666666665,-0.06278439934331247,0.14555837563451776,-0.4072240586474575,0.0,0.0
0.2208333333333335,-0.05412957700828709,0.1471319796954315,-0.35252986367776956,0.0,0.0
0.225,-0.044687952642804854,0.14949238578680205,-0.2904760440371936,0.0,0.0
0.2291666666666664,-0.03603313030777948,0.14949238578680205,-0.23652485513009214,0.0,0.0
0.2333333333333334,-0.02659150594229724,0.15106598984771574,-0.1742407740941666,0.0,0.0
0.2375,-0.016363079546358156,0.15106598984771574,-0.10789676840147193,0.0,0.0
0.2416666666666665,-0.008495059241789627,0.15106598984771574,-0.05617493146776291,0.0,0.0
0.2458333333333335,0.00173336715414946,0.15106598984771574,0.011473734698802739,0.0,0.0
0.25,0.009601387458717988,0.15106598984771574,0.06347219673716545,0.0,0.0
0.2541666666666665,0.020616615885113928,0.1518527918781726,0.13494203852138736,0.0,0.0
0.2583333333333335,0.02927143822013931,0.15027918781725888,0.19237169970850101,0.0,0.0
0.2625,0.038713062585621544,0.14949238578680205,0.25339688893540024,0.0,0.0
